R            ;E_CL_CCSD               ;E_CL_CCSD_A            ;E_CL_CCSD_B          ;E_CL_CCSD_EOM        ;E_CL_CCSD_EOM_A     ;E_CL_CCSD_EOM_B       ;E_CCSD               ;E_CCSD_A            ;E_CCSD_B
4.2          ;-152.481281463091       ;-76.240043068818       ;-76.240092100810     ;-152.481299099020    ;-76.240043415561    ;-76.240108813414      ;-152.481311764240    ;-76.240043641911    ;-76.240119711455
4.3          ;-152.481187486261       ;-76.240043115173       ;-76.240074257397     ;-152.481199515836    ;-76.240043352100    ;-76.240085645553      ;-152.481207986650    ;-76.240043504511    ;-76.240092947294
4.4          ;-152.481104991543       ;-76.240043148652       ;-76.240061049541     ;-152.481113086898    ;-76.240043309464    ;-76.240068702401      ;-152.481118665460    ;-76.240043411626    ;-76.240073518051
4.5          ;-152.481032194502       ;-76.240043171940       ;-76.240051476624     ;-152.481037569449    ;-76.240043280322    ;-76.240056548899      ;-152.481041187844    ;-76.240043348438    ;-76.240059676067
4.6          ;-152.480967555579       ;-76.240043187410       ;-76.240044675828     ;-152.480971076508    ;-76.240043259924    ;-76.240047991980      ;-152.480973388703    ;-76.240043305129    ;-76.240049992021
4.8          ;-152.480857789117       ;-76.240043202877       ;-76.240036694520     ;-152.480859094478    ;-76.240043234613    ;-76.240038054809      ;-152.480860143499    ;-76.240043254163    ;-76.240038836865
4.9          ;-152.480810715604       ;-76.240043205923       ;-76.240034516175     ;-152.480811628604    ;-76.240043226682    ;-76.240035369689      ;-152.480812180926    ;-76.240043239410    ;-76.240035848083
5.5          ;-152.480599892863       ;-76.240043206302       ;-76.240030804100     ;-152.480599931199    ;-76.240043207693    ;-76.240030843097      ;-152.480599957003    ;-76.240043208475    ;-76.240030861662
6.0          ;-152.480483582185       ;-76.240043205184       ;-76.240030617033     ;-152.480483584257    ;-76.240043205302    ;-76.240030619068      ;-152.480483585132    ;-76.240043205501    ;-76.240030619979
6.5          ;-152.480399604633       ;-76.240043204975       ;-76.240030606485     ;-152.480399604724    ;-76.240043204983    ;-76.240030606560      ;-152.480399604605    ;-76.240043204953    ;-76.240030606542
7.0          ;-152.480337303238       ;-76.240043204947       ;-76.240030606216     ;-152.480337303240    ;-76.240043204948    ;-76.240030606218      ;-152.480337303203    ;-76.240043204978    ;-76.240030606230
7.5          ;-152.480290057419       ;-76.240043204945       ;-76.240030606089     ;-152.480290057417    ;-76.240043204946    ;-76.240030606089      ;-152.480290057419    ;-76.240043204891    ;-76.240030606036
8.0          ;-152.480253550039       ;-76.240043204945       ;-76.240030606075     ;-152.480253550039    ;-76.240043204945    ;-76.240030606076      ;-152.480253550039    ;-76.240043204976    ;-76.240030606115
8.5          ;-152.480224876520       ;-76.240043204945       ;-76.240030606079     ;-152.480224876520    ;-76.240043204945    ;-76.240030606079      ;-152.480224876520    ;-76.240043204853    ;-76.240030605988
9.0          ;-152.480202031103       ;-76.240043204945       ;-76.240030606079     ;-152.480202031103    ;-76.240043204946    ;-76.240030606079      ;-152.480202031103    ;-76.240043204899    ;-76.240030606035
9.5          ;-152.480183597064       ;-76.240043204945       ;-76.240030606075     ;-152.480183597064    ;-76.240043204945    ;-76.240030606076      ;-152.480183597064    ;-76.240043204940    ;-76.240030606071
10.0         ;-152.480168553585       ;-76.240043204949       ;-76.240030606079     ;-152.480168553573    ;-76.240043204949    ;-76.240030606079      ;-152.480168553574    ;-76.240043204949    ;-76.240030606079





























































































































































































